onet_code,technology,trendy,demand
13-1141.00,Human resource management software HRMS,N,N
13-1141.00,Humanic Design Employmee Self-Service,N,N
13-1141.00,Humanic Design Human Resources Management System,N,N
13-1141.00,IBM Cognos,N,N
13-1141.00,IBM Cognos Impromptu,N,N
13-1141.00,IBM SPSS Statistics,Y,N
13-1141.00,Incentive management system software,N,N
13-1141.00,InfinityHR,N,N
13-1141.00,Kronos Workforce Timekeeper,Y,N
13-1141.00,Lawson ERP,N,N
13-1141.00,LinkedIn,N,N
13-1141.00,Lynchval Systems Lvadmin,N,N
13-1141.00,Lynchval Systems Lvval,N,N
13-1141.00,Lynchval Systems Lvxact,N,N
13-1141.00,Medical condition coding software,N,N
13-1141.00,Medical procedure coding software,N,N
13-1141.00,Microsoft Access,Y,N
13-1141.00,Microsoft Dynamics,N,N
13-1141.00,Microsoft Excel,Y,Y
13-1141.00,Microsoft Internet Explorer,N,N
13-1141.00,Microsoft Office software,Y,Y
13-1141.00,Microsoft Outlook,Y,Y
13-1141.00,Microsoft PowerPoint,Y,Y
13-1141.00,Microsoft Project,Y,N
13-1141.00,Microsoft SharePoint,Y,N
13-1141.00,Microsoft SQL Server,Y,N
13-1141.00,Microsoft Visual Basic,Y,N
13-1141.00,Microsoft Word,Y,N
13-1141.00,MicroStrategy,N,N
13-1141.00,NPKTools Comp Analytics,N,N
13-1141.00,NPKTools CompXpert,N,N
13-1141.00,O*NET OnLine,N,N
13-1141.00,OnQue Technologies COBRA OnOne,N,N
13-1141.00,Oracle E-Business Suite Human Resources Management System,N,N
13-1141.00,Oracle Fusion Applications,N,N
13-1141.00,Oracle HRIS,N,Y
13-1141.00,Oracle PeopleSoft,Y,N
13-1141.00,Oracle Taleo,N,N
13-1141.00,Project planning software,N,N
13-1141.00,Relational database management software,N,N
13-1141.00,Sage HRMS,N,N
13-1141.00,Salary.com,N,N
13-1141.00,SAP Crystal Reports,N,N
13-1141.00,SAP ERP Human Capital Management,N,N
13-1141.00,SAP software,Y,N
13-1141.00,SAS,Y,N
13-1141.00,SBC Systems Benefits Workstation,N,N
13-1141.00,Stroud & Associates Employee Benefits Administration System,N,N
13-1141.00,Structured query language SQL,Y,N
13-1141.00,Survey Sense,N,N
13-1141.00,Transcend Technologies Group benefitsCONNECT,N,N
13-1141.00,Travis Software TravisFlex,N,N
13-1141.00,Ultimate Software UltiPro Workplace,N,N
13-1141.00,Vebnet FIX&FLEX,N,N
13-1141.00,Virtual Benefits Administrator,N,N
13-1141.00,Vitech Systems Group V3 Benefits Administration System,N,N
13-1141.00,VUE Benefits Manager,N,N
13-1141.00,VUE Compensation Management,N,N
13-1141.00,Watson Wyatt CompQuest On-Line,N,N
13-1141.00,Watson Wyatt Global Grading System,N,N
13-1141.00,Watson Wyatt Reward,N,N
13-1141.00,Word processing software,N,N
13-1141.00,Workday software,Y,Y
13-1141.00,Workscape Outsourced Employee Benefits Administration,N,N
13-1141.00,Xactly Compel,N,N
13-1151.00,Adobe Acrobat,Y,N
13-1151.00,Adobe ActionScript,N,N
13-1151.00,Adobe After Effects,Y,N
13-1151.00,Adobe Authorware,N,N
13-1151.00,Adobe Captivate,N,N
13-1151.00,Adobe Creative Cloud software,Y,N
13-1151.00,Adobe Dreamweaver,N,N
13-1151.00,Adobe Illustrator,Y,N
13-1151.00,Adobe InDesign,Y,N
13-1151.00,Adobe Photoshop,Y,N
13-1151.00,Adobe Presenter,N,N
13-1151.00,Advanced business application programming ABAP,N,N
13-1151.00,Alchemy Systems SISTEM,N,N
13-1151.00,Apache Struts,N,N
13-1151.00,Apple Final Cut Pro,N,N
13-1151.00,Articulate Rapid E-Learning Studio,N,N
13-1151.00,Backbone.js,N,N
13-1151.00,Beeline Learning Management System LMS,N,N
13-1151.00,Blackbaud The Raiser's Edge,N,N
13-1151.00,Blackboard software,N,N
13-1151.00,Blatant Media Absorb LMS,N,N
13-1151.00,Brainshark Rapid Learning,N,N
13-1151.00,Cisco Webex,Y,N
13-1151.00,Citrix cloud computing software,N,N
13-1151.00,Cobent Learning and Compliance Suite LCS,N,N
13-1151.00,Common Curriculum,N,N
13-1151.00,Computer Generated Solutions Learning Management System,N,N
13-1151.00,Database software,N,N
13-1151.00,Django,Y,N
13-1151.00,dominKnow Learning Center,N,N
13-1151.00,Drupal,N,N
13-1151.00,Eedo Knowledgeware Eedo Force Ten,N,N
13-1151.00,ElearningForce JoomlaLMS,N,N
13-1151.00,Epic Systems,Y,N
13-1151.00,EZ LCMS,N,N
13-1151.00,FileMaker Pro,N,N
13-1151.00,FlexTraining Total e-Learning Solution,N,N
13-1151.00,G-Cube Solutions Wizdom Web LMS,N,N
13-1151.00,GeoMetrix Data Systems Training Partner,N,N
13-1151.00,Google Drive,N,N
13-1151.00,Google Meet,N,N
13-1151.00,Google Sites,N,N
13-1151.00,Google Slides,N,N
13-1151.00,Halogen eLMS,N,N
13-1151.00,HP Trim,N,N
13-1151.00,Human resource management software HRMS,N,N
13-1151.00,Hypertext markup language HTML,Y,N
13-1151.00,IBM Notes,N,N
13-1151.00,IBM SPSS Statistics,Y,N
13-1151.00,ICS Learning Group Inquisiq EX,N,N
13-1151.00,Ikonami AT-Learning Tool,N,N
13-1151.00,Inspired eLearning iLMS,N,N
13-1151.00,Intelladon Enterprise Knowledge Platform EKP,N,N
13-1151.00,Intelligent Information Conversion Technologies MeritScholar,N,N
13-1151.00,Intellum Rollbook,N,N
13-1151.00,Interwoven software,N,N
13-1151.00,JavaScript,Y,N
13-1151.00,Kahoot!,N,N
13-1151.00,Learn HQ Activate LMS,N,N
13-1151.00,Learning management system LMS,N,Y
13-1151.00,LogMeIn GoToMeeting,N,N
13-1151.00,LogMeIn GoToWebinar,N,N
13-1151.00,Medworxx Learning Management System,N,N
13-1151.00,Mentimeter,N,N
13-1151.00,Microsoft Access,Y,N
13-1151.00,Microsoft Dynamics,N,N
13-1151.00,Microsoft Excel,Y,Y
13-1151.00,Microsoft NetMeeting,N,N
13-1151.00,Microsoft Office software,Y,Y
13-1151.00,Microsoft OneNote,N,N
13-1151.00,Microsoft Outlook,Y,Y
13-1151.00,Microsoft PowerPoint,Y,Y
13-1151.00,Microsoft Project,Y,N
13-1151.00,Microsoft Publisher,N,N
13-1151.00,Microsoft SharePoint,Y,N
13-1151.00,Microsoft Visio,Y,N
13-1151.00,Microsoft Word,Y,Y
13-1151.00,Moodle,N,N
13-1151.00,MySQL,Y,N
13-1151.00,Mzinga On-Demand Learning Suite,N,N
13-1151.00,NetDimensions Enterprise Knowledge Platform EKP,N,N
13-1151.00,OnPoint Digital OnPoint Learning & Performance Suite,N,N
13-1151.00,Operitel LearnFlex,N,N
13-1151.00,Oracle Business Intelligence Enterprise Edition,N,N
13-1151.00,Oracle PeopleSoft,Y,N
13-1151.00,Oracle PeopleSoft Financials,N,N
13-1151.00,Oracle PL/SQL,Y,N
13-1151.00,Oracle Solaris,N,N
13-1151.00,Oracle Taleo,N,N
13-1151.00,Oracle WebLogic Server,N,N
13-1151.00,Pathlore LMS,N,N
13-1151.00,PHP,Y,N
13-1151.00,Plateau Learning Management System LMS,N,N
13-1151.00,Poll Everywhere,N,N
13-1151.00,Prezi,N,N
13-1151.00,PRO-ductivity Systems Compliance Training Manager Web,N,N
13-1151.00,Qarbon ViewletBuilder Professional,N,N
13-1151.00,Right Reason Technologies RightTrack,N,N
13-1151.00,RISC Virtual Training Assistant,N,N
13-1151.00,SAP software,Y,N
13-1151.00,Screencast-O-Matic,N,N
13-1151.00,SkillSoft SkillPort,N,N
13-1151.00,SmugMug Flickr,N,N
13-1151.00,SumTotal Systems ToolBook,N,N
13-1151.00,SumTotal Systems TotalLMS,N,N
13-1151.00,techniques.org knowledgeWorks LMS,N,N
13-1151.00,Telania eLeaP Learning Management System LMS/LCMS,N,N
13-1151.00,The Human Equation InSite LMS,N,N
13-1151.00,TrainCaster LMS,N,N
13-1151.00,TrainOnTrack Learning Management System LMS,N,N
13-1151.00,Upside Learning UpsideLMS,N,N
13-1151.00,Web browser software,N,N
13-1151.00,WeVideo,N,N
13-1151.00,Xerceo Learn,N,N
13-1151.00,Xyleme Learning Content Management System LCMS,N,N
13-1151.00,Ziiva Prosperity LMS,N,N
13-1151.00,Zoom,Y,N
13-1161.00,3M Post-it App,N,N
13-1161.00,AcaStat Software,N,N
13-1161.00,Act!,N,N
13-1161.00,Adaptive conjoint analysis ACA software,N,N
13-1161.00,Adobe Acrobat,Y,N
13-1161.00,Adobe ActionScript,N,N
13-1161.00,Adobe After Effects,Y,N
13-1161.00,Adobe Creative Cloud software,Y,Y
13-1161.00,Adobe Dreamweaver,N,N
13-1161.00,Adobe Illustrator,Y,N
13-1161.00,Adobe InDesign,Y,N
13-1161.00,Adobe Photoshop,Y,Y
13-1161.00,"Adxstudio, for Microsoft",N,N
13-1161.00,Airtable,N,N
13-1161.00,Amazon Redshift,Y,N
13-1161.00,AndersonBell Abstat,N,N
13-1161.00,Apache Hadoop,Y,N
13-1161.00,Apache Hive,Y,N
13-1161.00,Apache Pig,N,N
13-1161.00,Apple Final Cut Pro,N,N
13-1161.00,Apple Keynote,N,N
13-1161.00,Apple macOS,Y,N
13-1161.00,Aprimo Marketing,N,N
13-1161.00,Asana,Y,N
13-1161.00,Basecamp,N,N
13-1161.00,Blackbaud The Raiser's Edge,N,N
13-1161.00,Canva,Y,Y
13-1161.00,Cascading style sheets CSS,Y,N
13-1161.00,ClassApps SelectSurveyASP,N,N
13-1161.00,Cytel LogXact,N,N
13-1161.00,Cytel Software XLMiner,N,N
13-1161.00,Data analysis software,N,N
13-1161.00,Database software,N,N
13-1161.00,Delphi Technology,N,N
13-1161.00,Digivey software (expert system feature),N,N
13-1161.00,Digivey software (point of sale feature),N,N
13-1161.00,Dropbox,N,N
13-1161.00,Drupal,N,N
13-1161.00,Dynamic hypertext markup language DHTML,N,N
13-1161.00,ESRI ArcGIS software,Y,N
13-1161.00,Evernote,N,N
13-1161.00,Extensible hypertext markup language XHTML,N,N
13-1161.00,Facebook,Y,N
13-1161.00,Factiva,N,N
13-1161.00,FedBizOps,N,N
13-1161.00,FileMaker Pro,N,N
13-1161.00,Financial planning software,N,N
13-1161.00,Galilee Enterprise TargetPro,N,N
13-1161.00,Geographic information system GIS marketing software,N,N
13-1161.00,GLOBE Claritas,N,N
13-1161.00,GMI NET-MR,N,N
13-1161.00,Google Ads,N,N
13-1161.00,Google Analytics,Y,Y
13-1161.00,Google Docs,Y,N
13-1161.00,Google Drive,N,N
13-1161.00,Google Slides,N,N
13-1161.00,GroupMe,N,N
13-1161.00,HubSpot software,Y,N
13-1161.00,Hypertext markup language HTML,Y,N
13-1161.00,IBM Cognos Impromptu,N,N
13-1161.00,IBM Information Management System (IMS),N,N
13-1161.00,IBM Intelligent Miner,N,N
13-1161.00,IBM Notes,N,N
13-1161.00,IBM SPSS Statistics,Y,N
13-1161.00,Insightful Corporation Confirmit,N,N
13-1161.00,Insightful S-PLUS,N,N
13-1161.00,Instagram,N,N
13-1161.00,Intellimed,N,N
13-1161.00,JavaScript,Y,N
13-1161.00,LexisNexis,N,N
13-1161.00,LinkedIn,N,N
13-1161.00,LogiXML Ad-HOC,N,N
13-1161.00,LogMeIn GoToMeeting,N,N
13-1161.00,LogMeIn GoToWebinar,N,N
13-1161.00,Loom,N,N
13-1161.00,Map Maker,N,N
13-1161.00,Marketo Marketing Automation,Y,N
13-1161.00,Medstat/INFORUM,N,N
13-1161.00,Microsoft Access,Y,N
13-1161.00,Microsoft Dynamics,N,N
13-1161.00,Microsoft Excel,Y,Y
13-1161.00,Microsoft Office software,Y,Y
13-1161.00,Microsoft Outlook,Y,Y
13-1161.00,Microsoft PowerPoint,Y,Y
13-1161.00,Microsoft Project,Y,N
13-1161.00,Microsoft Publisher,N,N
13-1161.00,Microsoft SharePoint,Y,N
13-1161.00,Microsoft SQL Server,Y,N
13-1161.00,Microsoft Visio,Y,N
13-1161.00,Microsoft Visual Basic,Y,N
13-1161.00,Microsoft Visual Basic for Applications VBA,Y,N
13-1161.00,Microsoft Word,Y,N
13-1161.00,MicroStrategy,N,N
13-1161.00,Minitab,N,N
13-1161.00,Mintel Reports,N,N
13-1161.00,MySQL,Y,N
13-1161.00,NCR Teradata Warehouse Miner,N,N
13-1161.00,Neoforma Healthcare Products Information Services HPIS Market Intelligence,N,N
13-1161.00,NetSuite ERP,N,N
13-1161.00,NortonLifeLock cybersecurity software,N,N
13-1161.00,Oracle Business Intelligence Enterprise Edition,N,N
13-1161.00,Oracle Darwin,N,N
13-1161.00,Oracle Eloqua,N,N
13-1161.00,Oracle Hyperion,N,N
13-1161.00,Oracle PeopleSoft,Y,N
13-1161.00,Palisade StatTools,N,N
13-1161.00,Perseus SurveySolutions,N,N
13-1161.00,PHP,Y,N
13-1161.00,Presentation software,N,N
13-1161.00,Provalis Research Simstat,N,N
13-1161.00,Qlik Tech QlikView,N,N
13-1161.00,R,Y,N
13-1161.00,Red Hat Enterprise Linux,Y,N
13-1161.00,Salesforce software,Y,Y
13-1161.00,SAP Business Objects,N,N
13-1161.00,SAP Crystal Reports,N,N
13-1161.00,SAP software,Y,N
13-1161.00,SAS,Y,N
13-1161.00,Sawtooth Choice-Base Conjoint CBS,N,N
13-1161.00,Sawtooth Composite Product Mapping CPM,N,N
13-1161.00,Sawtooth SSI Web,N,N
13-1161.00,Slack,Y,N
13-1161.00,SmugMug Flickr,N,N
13-1161.00,Social media sites,N,N
13-1161.00,StataCorp Stata,N,N
13-1161.00,StatPac,N,N
13-1161.00,Structured query language SQL,Y,N
13-1161.00,Survey software,N,N
13-1161.00,Tableau,Y,N
13-1161.00,TechExcel ServiceWise,N,N
13-1161.00,Teradata Database,Y,N
13-1161.00,The MathWorks MATLAB,Y,N
13-1161.00,Thomson Dialog,N,N
13-1161.00,Thomson Financial Investext,N,N
13-1161.00,TikTok,Y,Y
13-1161.00,TNS MarketWhys,N,N
13-1161.00,TNS Miriad,N,N
13-1161.00,TranspoLink BidLeads,N,N
13-1161.00,UNISTAT Statistical Package,N,N
13-1161.00,Vantage MCIF,N,N
13-1161.00,Verispan Patient Parameters,N,N
13-1161.00,Walmart Retail Link,N,N
13-1161.00,Web browser software,N,N
13-1161.00,WeVideo,N,N
13-1161.00,WinCross,N,N
13-1161.00,Word processing software,N,N
13-1161.00,WordPress,Y,N
13-1161.00,WorldAPP KeySurvey Suite,N,N
13-1161.00,YouTube,N,N
13-1161.00,Zoom,Y,N
13-1161.01,Adobe Analytics,N,Y
13-1161.01,Adobe Dreamweaver,N,N
13-1161.01,Adobe Photoshop,Y,N
13-1161.01,Ahrefs Site Explorer,N,Y
13-1161.01,AJAX,Y,N
13-1161.01,Apache Solr,N,N
13-1161.01,Atlas Search,N,N
13-1161.01,Bing Ads,N,Y
13-1161.01,BrightEdge,N,N
13-1161.01,Cascading style sheets CSS,Y,Y
13-1161.01,Conductor Searchlight,N,N
13-1161.01,Content management systems CMS,N,Y
13-1161.01,Customer information databases,N,N
13-1161.01,Drupal,N,N
13-1161.01,Elasticsearch,Y,N
13-1161.01,Email software,N,N
13-1161.01,Facebook,Y,N
13-1161.01,Google,N,Y
13-1161.01,Google Ads,N,Y
13-1161.01,Google Analytics,Y,Y
13-1161.01,Google Search Ads 360,N,N
13-1161.01,Google Tag Manager,N,Y
13-1161.01,Google Webmaster Tools,N,N
13-1161.01,HubSpot software,Y,N
13-1161.01,Hypertext markup language HTML,Y,Y
13-1161.01,IBM Digital Analytics,N,N
13-1161.01,JamBoard,N,N
13-1161.01,JavaScript,Y,Y
13-1161.01,Kanoodle,N,N
13-1161.01,LinkedIn,N,N
13-1161.01,Majestic SEO,N,N
13-1161.01,Marketo Marketing Automation,Y,N
13-1161.01,Microsoft Access,Y,N
13-1161.01,Microsoft ASP.NET,Y,N
13-1161.01,Microsoft Bing,N,N
13-1161.01,Microsoft Dynamics,N,N
13-1161.01,Microsoft Excel,Y,Y
13-1161.01,Microsoft Office software,Y,Y
13-1161.01,Microsoft Outlook,Y,N
13-1161.01,Microsoft PowerPoint,Y,Y
13-1161.01,Microsoft Project,Y,N
13-1161.01,Microsoft SQL Server,Y,N
13-1161.01,Microsoft Visio,Y,N
13-1161.01,Microsoft Word,Y,N
13-1161.01,Moz search engine optimization SEO software,N,Y
13-1161.01,MySQL,Y,N
13-1161.01,Online databases,N,N
13-1161.01,Open Source Matters Joomla!,N,N
13-1161.01,Oracle Eloqua,N,N
13-1161.01,Oracle Java,Y,N
13-1161.01,Oracle JavaServer Pages JSP,N,N
13-1161.01,PHP,Y,N
13-1161.01,Pinterest,N,N
13-1161.01,Python,Y,Y
13-1161.01,Screaming Frog SEO Spider,N,Y
13-1161.01,Searchmetrics Suite,N,N
13-1161.01,Semrush,N,Y
13-1161.01,seoClarity,N,N
13-1161.01,Structured query language SQL,Y,N
13-1161.01,Tableau,Y,N
13-1161.01,Twitter,N,N
13-1161.01,Web browser software,N,N
13-1161.01,WhatsApp,N,N
13-1161.01,WordPress,Y,Y
13-1161.01,Yahoo! Email,N,N
13-1161.01,YouTube,N,N
13-1199.04,Actuate BIRT,N,N
13-1199.04,Adobe Acrobat,Y,N
13-1199.04,Atlassian Confluence,Y,N
13-1199.04,Atlassian JIRA,Y,Y
13-1199.04,Business continuity software,N,N
13-1199.04,CA Clarity PPM,N,N
13-1199.04,Computer operating systems,N,N
13-1199.04,COOP Systems myCOOP,N,N
13-1199.04,EMC RSA Archer Business Continuity Management,N,N
13-1199.04,Emergency notification system software,N,N
13-1199.04,Enterprise backup systems,N,N
13-1199.04,Jaspersoft Business Intelligence Suite,N,N
13-1199.04,Local area network LAN software,N,N
13-1199.04,Mentimeter,N,N
13-1199.04,Microsoft Access,Y,N
13-1199.04,Microsoft Excel,Y,Y
13-1199.04,Microsoft Office software,Y,Y
13-1199.04,Microsoft Outlook,Y,N
13-1199.04,Microsoft PowerPoint,Y,Y
13-1199.04,Microsoft Project,Y,N
13-1199.04,Microsoft SharePoint,Y,Y
13-1199.04,Microsoft SharePoint Server,N,N
13-1199.04,Microsoft SQL Server,Y,N
13-1199.04,Microsoft Visio,Y,N
13-1199.04,Microsoft Word,Y,N
13-1199.04,MIR3 Intelligent Notification,N,N
13-1199.04,Oracle JD Edwards EnterpriseOne,N,N
13-1199.04,Oracle Primavera Enterprise Project Portfolio Management,Y,N
13-1199.04,RecoveryPlanner RPX,N,N
13-1199.04,SAP Crystal Reports,N,N
13-1199.04,ServiceNow,Y,Y
13-1199.04,Strategic BCP ResilienceONE,N,N
13-1199.04,Structured query language SQL,Y,N
13-1199.04,Sungard Assurance,N,N
13-1199.04,SunGard NotiFind,N,N
13-1199.04,Teradata Database,Y,N
13-1199.04,Virtual Corporation Sustainable Planner,N,N
13-1199.04,Web browser software,N,N
13-1199.05,Adobe Acrobat,Y,N
13-1199.05,Adobe Creative Cloud software,Y,N
13-1199.05,Adobe Illustrator,Y,N
13-1199.05,Adobe InDesign,Y,N
13-1199.05,Adobe Photoshop,Y,N
13-1199.05,Autodesk AutoCAD,Y,N
13-1199.05,Autodesk AutoCAD Civil 3D,Y,N
13-1199.05,Autodesk Revit,Y,N
13-1199.05,Bentley MicroStation,Y,N
13-1199.05,Esri ArcGIS,N,N
13-1199.05,Extensible markup language XML,Y,N
13-1199.05,Geographic information system GIS software,N,N
13-1199.05,Google Analytics,Y,N
13-1199.05,Inventory management systems,N,N
13-1199.05,JavaScript,Y,N
13-1199.05,Life cycle assessment LCA software,N,N
13-1199.05,Microsoft Access,Y,N
13-1199.05,Microsoft Excel,Y,Y
13-1199.05,Microsoft Office software,Y,Y
13-1199.05,Microsoft Outlook,Y,Y
13-1199.05,Microsoft Power BI,Y,Y
13-1199.05,Microsoft PowerPoint,Y,Y
13-1199.05,Microsoft Project,Y,N
13-1199.05,Microsoft Publisher,N,N
13-1199.05,Microsoft SharePoint,Y,N
13-1199.05,Microsoft Visio,Y,N
13-1199.05,Microsoft Word,Y,N
13-1199.05,Online database search and retrieval software,N,N
13-1199.05,Oracle Database,Y,N
13-1199.05,PE INTERNATIONAL GaBi,N,N
13-1199.05,PE INTERNATIONAL SoFi,N,N
13-1199.05,PRe Consultants SimaPro,N,N
13-1199.05,Quark enterprise publishing software,N,N
13-1199.05,SAP software,Y,N
13-1199.05,Social media sites,N,N
13-1199.05,Structured query language SQL,Y,N
13-1199.05,Tableau,Y,Y
13-1199.05,Web browser software,N,N
13-1199.05,Word processing software,N,N
13-1199.06,Adobe Dreamweaver,N,N
13-1199.06,Adobe Photoshop,Y,N
13-1199.06,AJAX,Y,N
13-1199.06,Apache Solr,N,N
13-1199.06,Apache Struts,N,N
13-1199.06,Apple macOS,Y,N
13-1199.06,Bing Ads,N,N
13-1199.06,Bing for Power BI,N,N
13-1199.06,Blogging software,N,N
13-1199.06,C#,Y,N
13-1199.06,CCBill,N,N
13-1199.06,Content management systems CMS,N,N
13-1199.06,Drupal,N,N
13-1199.06,Dynamic hypertext markup language DHTML,N,N
13-1199.06,e-check software,N,N
13-1199.06,Enterprise JavaBeans,N,N
13-1199.06,Extensible hypertext markup language XHTML,N,N
13-1199.06,Extensible markup language XML,Y,N
13-1199.06,Facebook,Y,N
13-1199.06,Financial accounting software,N,N
13-1199.06,Google Ads,N,N
13-1199.06,Google Analytics,Y,Y
13-1199.06,Google Checkout,N,N
13-1199.06,Hypertext markup language HTML,Y,N
13-1199.06,IBM Digital Analytics,N,N
13-1199.06,IBM Domino,N,N
13-1199.06,IBM InfoSphere DataStage,N,N
13-1199.06,IBM WebSphere,N,N
13-1199.06,Intuit QuickBooks,Y,N
13-1199.06,Intuit QuickBoooks Payments,N,N
13-1199.06,Inventory tracking software,N,N
13-1199.06,JamBoard,N,N
13-1199.06,JavaScript,Y,N
13-1199.06,jQuery,Y,N
13-1199.06,LAMP Stack,N,N
13-1199.06,Linux,Y,N
13-1199.06,Magento Analytics,N,N
13-1199.06,Microsoft .NET Framework,Y,N
13-1199.06,Microsoft Access,Y,N
13-1199.06,Microsoft Dynamics,N,N
13-1199.06,Microsoft Excel,Y,Y
13-1199.06,Microsoft Office software,Y,Y
13-1199.06,Microsoft Outlook,Y,Y
13-1199.06,Microsoft PowerPoint,Y,Y
13-1199.06,Microsoft Project,Y,N
13-1199.06,Microsoft SQL Server,Y,N
13-1199.06,Microsoft Visio,Y,N
13-1199.06,Microsoft Visual Studio,Y,N
13-1199.06,Microsoft Windows,Y,N
13-1199.06,Microsoft Word,Y,N
13-1199.06,Mobile application software,N,N
13-1199.06,MyCommerce RegNow,N,N
13-1199.06,MySQL,Y,N
13-1199.06,NetSuite ERP,N,N
13-1199.06,Oracle Java,Y,N
13-1199.06,Oracle JavaServer Pages JSP,N,N
13-1199.06,PayPal,N,N
13-1199.06,PayPal Zettle,N,N
13-1199.06,PHP,Y,N
13-1199.06,ProPay payment processing software,N,N
13-1199.06,Relational database management software,N,N
13-1199.06,Screencast-O-Matic,N,N
13-1199.06,Search engine marketing SEM software,N,N
13-1199.06,Search engine optimization SEO software,N,N
13-1199.06,Search engine results pages SERP software,N,N
13-1199.06,Shipment processing software,N,N
13-1199.06,Shopify software,N,Y
13-1199.06,Snorasson Holdings CCNow,N,N
13-1199.06,Square,N,N
13-1199.06,Structured query language SQL,Y,N
13-1199.06,Tax software,N,N
13-1199.06,Twitter,N,N
13-1199.06,Web browser software,N,N
13-1199.06,Webtrends software,N,N
13-1199.06,WordPress,Y,N
13-1199.06,YouTube,N,N
13-1199.07,Adobe Acrobat,Y,N
13-1199.07,Amazon Web Services AWS software,Y,Y
13-1199.07,ArcSight Enterprise Threat and Risk Management,N,N
13-1199.07,Chinotec Technologies Paros,N,N
13-1199.07,Cisco Systems CiscoWorks,N,N
13-1199.07,Customer information control system CICS,N,N
13-1199.07,CyberArk,N,N
13-1199.07,Database software,N,N
13-1199.07,Firewall software,N,Y
13-1199.07,IBM Tivoli software,N,N
13-1199.07,Intrusion prevention system IPS,N,N
13-1199.07,JavaScript,Y,N
13-1199.07,Kismet,N,N
13-1199.07,Linux,Y,Y
13-1199.07,Management information systems MIS,N,N
13-1199.07,McAfee,N,N
13-1199.07,Metasploit,N,N
13-1199.07,Microsoft Access,Y,N
13-1199.07,Microsoft Active Directory,Y,Y
13-1199.07,Microsoft Azure software,Y,Y
13-1199.07,Microsoft Excel,Y,Y
13-1199.07,Microsoft Office software,Y,Y
13-1199.07,Microsoft Outlook,Y,N
13-1199.07,Microsoft PowerPoint,Y,Y
13-1199.07,Microsoft PowerShell,Y,Y
13-1199.07,Microsoft SharePoint,Y,N
13-1199.07,Microsoft Visio,Y,N
13-1199.07,Microsoft Windows,Y,N
13-1199.07,Microsoft Word,Y,N
13-1199.07,MITRE ATT&CK software,N,Y
13-1199.07,Network directory services software,N,N
13-1199.07,Nmap,N,N
13-1199.07,NortonLifeLock cybersecurity software,N,N
13-1199.07,Operating system software,N,Y
13-1199.07,Oracle Business Intelligence Enterprise Edition,N,N
13-1199.07,Oracle Java,Y,N
13-1199.07,Photo editing software,N,N
13-1199.07,Physical access management software,N,N
13-1199.07,SAP Crystal Reports,N,N
13-1199.07,SAP software,Y,N
13-1199.07,Secure web gateway software,N,N
13-1199.07,Security assertion markup language SAML,N,N
13-1199.07,ServiceNow,Y,N
13-1199.07,Single sign-on SSO,N,N
13-1199.07,Social networking software,N,N
13-1199.07,Splunk Enterprise,Y,N
13-1199.07,Structured query language SQL,Y,N
13-1199.07,Symantec PGP,N,N
13-1199.07,Tenable Nessus,N,N
13-1199.07,TrueCrypt,N,N
13-1199.07,UNIX,Y,N
13-1199.07,Videoconferencing software,N,N
13-1199.07,Virtual private networking VPN software,N,N
13-1199.07,Web browser software,N,N
13-2011.00,1099 ProsSoftware,N,N
13-2011.00,Abacus Tax,N,N
13-2011.00,Accountants Templates JAZZ-It!,N,N
13-2011.00,Accounting compliance software,N,N
13-2011.00,Accounting fraud detection software,N,N
13-2011.00,Accounting software,N,Y
13-2011.00,Accounts payable software,N,N
13-2011.00,Accounts receivable software,N,N
13-2011.00,ACCUCert,N,N
13-2011.00,Accurate NXG,N,N
13-2011.00,ACL Audit Exchange,N,N
13-2011.00,ACL Business Assurance Analytics,N,N
13-2011.00,AcornSystems Corporate Performance Management,N,N
13-2011.00,AcorynSystems Activity Based Costing/Management ABC/M,N,N
13-2011.00,AdaptaSoft CyberPay,N,N
13-2011.00,Adobe Acrobat,Y,N
13-2011.00,ADP Super Report Writer,N,N
13-2011.00,ADP Workforce Now,N,N
13-2011.00,Advanced Micro Systems 1099-Etc,N,N
13-2011.00,Alteryx software,Y,N
13-2011.00,American Riviera Magtax,N,N
13-2011.00,Apache Solr,N,N
13-2011.00,Arbutus Analyzer,N,N
13-2011.00,Asset management software,N,N
13-2011.00,ATX Total Accounting Office,N,N
13-2011.00,ATX Total Engagement Office,N,N
13-2011.00,ATX Total Tax Office,N,N
13-2011.00,Audit management software,N,N
13-2011.00,Audit planning and control environment software,N,N
13-2011.00,AuditWare CaseWare Examiner,N,N
13-2011.00,AuditWare financial reporting and auditing software,N,N
13-2011.00,Automated auditors fraud detector software,N,N
13-2011.00,Automation Counselors municiPAL,N,N
13-2011.00,Avalara AvaTax ST,N,N
13-2011.00,Best MIP Fund Accounting,N,N
13-2011.00,Best Software CPAPayroll,N,N
13-2011.00,Bi3 Audit Intelligence,N,N
13-2011.00,Bi3 Financial Statement Fraud Analysis,N,N
13-2011.00,Billing software,N,N
13-2011.00,BizBench,N,N
13-2011.00,Blackbaud The Raiser's Edge,N,N
13-2011.00,BNA Corporate Tax Audit Analyzer,N,N
13-2011.00,BNA Estate and Gift Tax Suite,N,N
13-2011.00,BNA Income Tax Planning Solutions,N,N
13-2011.00,BNA Sales and Use Tax Rates and Forms,N,N
