onet_code,technology,trendy,demand
11-2011.00,Extensible markup language XML,Y,N
11-2011.00,Facebook,Y,N
11-2011.00,Google Ads,N,N
11-2011.00,Google Analytics,Y,Y
11-2011.00,Google DoubleClick,N,N
11-2011.00,Hootsuite,N,N
11-2011.00,HubSpot software,Y,N
11-2011.00,Hypertext markup language HTML,Y,N
11-2011.00,IBM Lotus Notes,N,N
11-2011.00,Instagram,N,N
11-2011.00,Inventory tracking software,N,N
11-2011.00,JavaScript,Y,N
11-2011.00,LinkedIn,N,N
11-2011.00,MailChimp,N,N
11-2011.00,Marketo Marketing Automation,Y,N
11-2011.00,MarketSharp,N,N
11-2011.00,Microsoft Access,Y,N
11-2011.00,Microsoft Dynamics,N,N
11-2011.00,Microsoft Dynamics Marketing,N,N
11-2011.00,Microsoft Excel,Y,Y
11-2011.00,Microsoft Office software,Y,Y
11-2011.00,Microsoft Outlook,Y,Y
11-2011.00,Microsoft PowerPoint,Y,Y
11-2011.00,Microsoft Project,Y,N
11-2011.00,Microsoft Publisher,N,N
11-2011.00,Microsoft SharePoint,Y,N
11-2011.00,Microsoft SQL Server,Y,N
11-2011.00,Microsoft Windows,Y,N
11-2011.00,Microsoft Word,Y,N
11-2011.00,Oracle Eloqua,N,N
11-2011.00,PaloAlto Advertising Plan Pro,N,N
11-2011.00,Pinterest,N,N
11-2011.00,Quark enterprise publishing software,N,N
11-2011.00,Relex Weibull,N,N
11-2011.00,Salesforce software,Y,Y
11-2011.00,SAP software,Y,N
11-2011.00,Scheduling software,N,N
11-2011.00,Social media software,N,N
11-2011.00,Structure query language SQL,N,N
11-2011.00,Tableau,Y,N
11-2011.00,Twitter,N,N
11-2011.00,Vimeo,N,N
11-2011.00,Web browser software,N,N
11-2011.00,WebTrends Analytics,N,N
11-2011.00,Webtrends software,N,N
11-2011.00,WordPress,Y,N
11-2011.00,YouTube,N,N
11-2021.00,Adobe Acrobat,Y,N
11-2021.00,Adobe Acrobat Reader,N,N
11-2021.00,Adobe ActionScript,N,N
11-2021.00,Adobe After Effects,Y,N
11-2021.00,Adobe Creative Cloud software,Y,N
11-2021.00,Adobe Dreamweaver,N,N
11-2021.00,Adobe Illustrator,Y,N
11-2021.00,Adobe InDesign,Y,N
11-2021.00,Adobe Photoshop,Y,N
11-2021.00,AdSense Tracker,N,N
11-2021.00,AEC Software FastTrack Schedule,N,N
11-2021.00,Airtable,N,N
11-2021.00,Amazon Redshift,Y,N
11-2021.00,Amazon Web Services AWS software,Y,N
11-2021.00,Apache Cassandra,Y,N
11-2021.00,Apache Hadoop,Y,N
11-2021.00,Apache Hive,Y,N
11-2021.00,Apache Pig,N,N
11-2021.00,Apache Solr,N,N
11-2021.00,Apple Final Cut Pro,N,N
11-2021.00,Apple Keynote,N,N
11-2021.00,Apple macOS,Y,N
11-2021.00,Armand Morin MultiTrack Generator,N,N
11-2021.00,Asana,Y,N
11-2021.00,Atlassian Confluence,Y,N
11-2021.00,Atlassian JIRA,Y,Y
11-2021.00,Blackbaud The Raiser's Edge,N,N
11-2021.00,C,Y,N
11-2021.00,Canva,Y,N
11-2021.00,Cascading style sheets CSS,Y,N
11-2021.00,Citrix cloud computing software,N,N
11-2021.00,ClearEDGE,N,N
11-2021.00,Constant Contact,N,N
11-2021.00,Database reporting software,N,N
11-2021.00,Database software,N,N
11-2021.00,Databox,N,N
11-2021.00,Delphi Technology,N,N
11-2021.00,Dropbox,N,N
11-2021.00,Drupal,N,N
11-2021.00,Dynamic hypertext markup language DHTML,N,N
11-2021.00,Eko,N,N
11-2021.00,Elasticsearch,Y,N
11-2021.00,Evernote,N,N
11-2021.00,Extensible hypertext markup language XHTML,N,N
11-2021.00,Extensible markup language XML,Y,N
11-2021.00,Facebook,Y,N
11-2021.00,Figma,Y,N
11-2021.00,FileMaker Pro,N,N
11-2021.00,Flipgrid,N,N
11-2021.00,Fund accounting software,N,N
11-2021.00,GitHub,Y,N
11-2021.00,Google Ads,N,N
11-2021.00,Google Analytics,Y,N
11-2021.00,Google Docs,Y,N
11-2021.00,Google Drive,N,N
11-2021.00,Google Meet,N,N
11-2021.00,Google Slides,N,N
11-2021.00,HubSpot software,Y,N
11-2021.00,Hypertext markup language HTML,Y,N
11-2021.00,IBM Cognos Impromptu,N,N
11-2021.00,IBM Domino,N,N
11-2021.00,IBM InfoSphere DataStage,N,N
11-2021.00,IBM Notes,N,N
11-2021.00,IBM Power Systems software,N,N
11-2021.00,IBM SPSS Statistics,Y,N
11-2021.00,Instagram,N,N
11-2021.00,Intuit QuickBooks,Y,N
11-2021.00,JamBoard,N,N
11-2021.00,JavaScript,Y,N
11-2021.00,Jupyter Notebook,N,N
11-2021.00,Kapwing,N,N
11-2021.00,LAMP Stack,N,N
11-2021.00,LexisNexis,N,N
11-2021.00,LinkedIn,N,N
11-2021.00,LogMeIn GoToMeeting,N,N
11-2021.00,LogMeIn GoToWebinar,N,N
11-2021.00,Lyris HQ Web-Analytics Solution,N,N
11-2021.00,Marketo Marketing Automation,Y,N
11-2021.00,MarketSharp,N,N
11-2021.00,McAfee,N,N
11-2021.00,Mentimeter,N,N
11-2021.00,Microsoft Access,Y,N
11-2021.00,Microsoft Azure software,Y,N
11-2021.00,Microsoft Dynamics,N,N
11-2021.00,Microsoft Excel,Y,Y
11-2021.00,Microsoft Office software,Y,Y
11-2021.00,Microsoft Outlook,Y,N
11-2021.00,Microsoft PowerPoint,Y,Y
11-2021.00,Microsoft Project,Y,N
11-2021.00,Microsoft Publisher,N,N
11-2021.00,Microsoft SharePoint,Y,N
11-2021.00,Microsoft SQL Server,Y,N
11-2021.00,Microsoft Teams,Y,N
11-2021.00,Microsoft Visio,Y,N
11-2021.00,Microsoft Visual Basic,Y,N
11-2021.00,Microsoft Visual Basic for Applications VBA,Y,N
11-2021.00,Microsoft Visual Basic Scripting Edition VBScript,N,N
11-2021.00,Microsoft Word,Y,N
11-2021.00,MicroStrategy,N,N
11-2021.00,Minitab,N,N
11-2021.00,MySQL,Y,N
11-2021.00,Nearpod,N,N
11-2021.00,Nedstat Sitestat,N,N
11-2021.00,NetSuite ERP,N,N
11-2021.00,NortonLifeLock cybersecurity software,N,N
11-2021.00,NoSQL,Y,N
11-2021.00,Online advertising reporting software,N,N
11-2021.00,Oracle Beehive,N,N
11-2021.00,Oracle Business Intelligence Enterprise Edition,N,N
11-2021.00,Oracle Database,Y,N
11-2021.00,Oracle E-Business Suite Financials,N,N
